taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,soil_moisture_a,soil_moisture_f,substrate_a,substrate_f
Spirodela punctata,In Victoria occasional in lagoons and backwaters in the Riverina area with scattered occurrences throughout the lowlands of southern Victoria,In Victoria occasional in lagoons and backwaters in the Riverina area with scattered occurrences throughout the lowlands of southern Victoria,NA,NA,lagoons,lagoons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporadanthus tasmanicus,In Victoria restricted to the Grampians and the southwest occurs mainly in swampy heathland at swamp margins and along rocky margins of watercourses,In Victoria restricted to the Grampians and the southwest occurs mainly in swampy heathland at swamp margins and along rocky margins of watercourses,NA,NA,heath swamp,heathland swamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus africanus,Naturalised in all States In Victoria largely confined to nearcoastal areas where often abundant along road verges rough lawns etc but occasional in the north of the State near the Murray River eg near Walwa Cobram and Cohuna,Naturalised in all States In Victoria largely confined to nearcoastal areas where often abundant along road verges rough lawns etc but occasional in the north of the State near the Murray River eg near Walwa Cobram and Cohuna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus anglicus,Largely coextensive with S �townsendii but a more vigorous species and apparently displacing it in most known sites Reported also from the lee shores of islands surrounding Wilsons Promontory and recently from the Barwon River near Barwon Heads,Largely coextensive with S �townsendii but a more vigorous species and apparently displacing it in most known sites Reported also from the lee shores of islands surrounding Wilsons Promontory and recently from the Barwon River near Barwon Heads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus caroli,All mainland states Apparently confined in Victoria to seasonally inundated areas along the Murray River floodplain downstream of about Echuca rare,All mainland states Apparently confined in Victoria to seasonally inundated areas along the Murray River floodplain downstream of about Echuca rare,NA,NA,floodplain,floodplain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus creber,Rare in Victoria and known from a few localities in central to northeastern Victoria eg Broadford Mitiamo Rochester Walwa,Rare in Victoria and known from a few localities in central to northeastern Victoria eg Broadford Mitiamo Rochester Walwa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus fertilis,Native to tropical Asia Naturalised in Qld and NSW where it is sometimes a serious pasture weed,Native to tropical Asia Naturalised in Qld and NSW where it is sometimes a serious pasture weed,NA,NA,pasture,pasture,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus mitchellii,All mainland states Usually occurring on shores of rivers and freshwater to subsalline swamps and shallow drainage lines principally along the Murray River and associated wetlands downstream from Barmah Forest but with occasional occurrences further south eg at Lake Hindmarsh and swamps near Edenhope,All mainland states Usually occurring on shores of rivers and freshwater to subsalline swamps and shallow drainage lines principally along the Murray River and associated wetlands downstream from Barmah Forest but with occasional occurrences further south eg at Lake Hindmarsh and swamps near Edenhope,NA,NA,swamp,swamps swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sporobolus virginicus,All States Widely distributed along coasts in all warmtemperate and tropical countries Occurs along most of the Victorian coastline on sand dunes cliffs and bordering saltmarsh and freshwater lagoons Known also from a few inland sites eg southern Grampians near Woorndoo on the basalt plains Glenelg River below Harrow with an old record from near Dimboola but apparently not recorded from there since 1895 Records of the species occurring in the far northwest are not substantiated by specimens at MEL,All States Widely distributed along coasts in all warmtemperate and tropical countries Occurs along most of the Victorian coastline on sandsandduness cliffs and bordering saltmarsh and freshwater lagoons Known also from a few inland sites eg southern Grampians near Woorndoo on the basalt plains Glenelg River below Harrow with an old record from near Dimboola but apparently not recorded from there since 1895 Records of the species occurring in the far northwest are not substantiated by specimens at MEL,NA,NA,lagoons plains saltmarshes,lagoons plains saltmarsh,NA,NA,NA,NA,sand,sands,NA,NA,basalt,basalt
Sporobolus ×townsendii,Also naturalised in Native to southern England France and Denmark but widely planted in saltmarsh elsewhere for land reclamation Known in Victoria from only three localities Westernport Bay near Tooradin Corner Inlet near Foster and Andersons Inlet near Inverloch Deliberately planted in the 1920s and 1930s in Corner Inlet for conversion of tidal mudflats to pasture,Also naturalised in Native to southern England France and Denmark but widely planted in saltmarsh elsewhere for land reclamation Known in Victoria from only three localities Westernport Bay near Tooradin Corner Inlet near Foster and Andersons Inlet near Inverloch Deliberately planted in the 1920s and 1930s in Corner Inlet for conversion of tidal mudflats to pasture,NA,NA,saltmarshes,saltmarsh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sprengelia incarnata,Occurs in wet heathland sedgeland and other swampy vegetation on peaty or sandy soils Typically a species of lower altitudes but ascending to over 1000 m in the Grampians and on Mt Baw Baw,Occurs in wet heathland sedgeland and other swampy vegetation on peaty or sandy soils Typically a species of lower altitudes but ascending to over 1000 m in the Grampians and on Mt Baw Baw,NA,NA,heath,heathland,NA,NA,NA,NA,peat sand,peaty sandy,NA,NA,NA,NA
Spyridium cinereum,Disjunctly distributed and very localized but locally rather common in wet heath or low scrub in the northeast Grampians and near the coast just west of Mallacoota,Disjunctly distributed and very localized but locally rather common in wet heath or low scrub in the northeast Grampians and near the coast just west of Mallacoota,NA,NA,heath scrub,heath scrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium daltonii,Locally common in heathy woodlands and moist forests in the central areas of the Grampians eg Fyans Ck Wallaby Rocks Mt William Victoria Range,Locally common in heathy woodlands and moist forests in the central areas of the Grampians eg Fyans Ck Wallaby Rocks Mt William Victoria Range,NA,NA,forest woodland,forests woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium eriocephalum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium eriocephalum var. eriocephalum,Moderately common through the Mallee regions usually on sandy flats or dune swales with disjunct occurrences on shallow rocky ground in the InglewoodWedderburn area Long Forest near Bacchus Marsh and verges of the Moroka River north of Maffra,Moderately common through the Mallee regions usually on sandy flats or sanddunes swales with disjunct occurrences on shallow rocky ground in the InglewoodWedderburn area Long Forest near Bacchus Marsh and verges of the Moroka River north of Maffra,NA,NA,sanddunes,sanddunes sanddunes sanddunes,flat swales,flats swales swales,NA,NA,sand,sandy,NA,NA,NA,NA
Spyridium furculentum,A very rare Victorian endemic localised in heathy mallee near the southern boundary of the Little Desert northwest of Mitre,A very rare Victorian endemic localised in heathy mallee near the southern boundary of the Little Desert northwest of Mitre,rare,rare,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium nitidum,Extremely rare in Victoria known by very few collections from mallee developed on heavier soils at the southern fringe of the Big Desert near the South Australian border,Extremely rare in Victoria known by very few collections from mallee developed on heavier soils at the southern fringe of the Big Desert near the South Australian border,rare,rare,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium parvifolium,Common and widespread in moist forest and heathland usually growing on sandy loam or gravelly soils occasional in drier heathy woodland eg Maryborough district but apparently absent from the Mornington Peninsula and Strzelecki Ranges,Common and widespread in moist forest and heathland usually growing on sandy loam or gravelly soils occasional in drier heathy woodland eg Maryborough district but apparently absent from the Mornington Peninsula and Strzelecki Ranges,NA,NA,forest heath widespread woodland,forest heathland widespread woodland,NA,NA,NA,NA,gravelly loam sand,gravelly loam sandy,NA,NA,NA,NA
Spyridium subochreatum,Almost ubiquitous on dunemallee and malleeheath associations in the northwest of the State occasionally also in scrubs on sandstone rises,Almost ubiquitous on sanddunesmallee and malleeheath associations in the northwest of the State occasionally also in scrubs on sandstone rises,NA,NA,sanddunes scrub,sanddunes scrubs,NA,NA,NA,NA,sand,sands,NA,NA,sandstone,sandstone
Spyridium vexilliferum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium vexilliferum var. latifolium,Known from nearcoastal heath and heathy woodland from Portland area westward,Known from nearcoastal heath and heathy woodland from Portland area westward,NA,NA,heath woodland,heath woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spyridium vexilliferum var. vexilliferum,An occasional component of heathland heathy woodland or mallee usually growing on sandy or gravelly soils sometimes associated with rock,An occasional component of heathland heathy woodland or mallee usually growing on sandy or gravelly soils sometimes associated with rock,NA,NA,heath mallee woodland,heathland mallee woodland,NA,NA,NA,NA,gravelly sand,gravelly sandy,NA,NA,NA,NA
Spyridium ×ramosissimum,A hybrid between S daltonii and Sparvifolium known only from areas in the Grampians where both parents are present It is not known to produce viable seed,A hybrid between S daltonii and Sparvifolium known only from areas in the Grampians where both parents are present It is not known to produce viable seed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stachys arvensis,Also naturalised Native to southwestern and central Europe Principally a weed of irrigated cropland occasional on roadsides and wasteland,Also naturalised Native to southwestern and central Europe Principally a weed of irrigated cropland occasional on roadsidess and wasteland,NA,NA,roadside,roadsidess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stachys obtusifolia,Native to South Africa,Native to South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stachys sylvatica,Native to temperate Eurasia Naturalised on the side of Sherbrook Road in the Dandenong Range,Native to temperate Eurasia Naturalised on the side of Sherbrook Road in the Dandenong Range,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia aspericocca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia aspericocca subsp. 1,Known in Victoria from only a few collections in the Sunset Country where growing on sandy rises,Known in Victoria from only a few collections in the Sunset Country where growing on sandy rises,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stackhousia aspericocca subsp. 2,Uncommon in Victoria where confined to the far west mostly in sandy mallee communities of the northwest but extending southwards to sandy heathy woodlands near the coast,Uncommon in Victoria where confined to the far west mostly in sandy mallee communities of the northwest but extending southwards to sandy heathy woodlands near the coast,NA,NA,mallee woodland,mallee woodlands,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stackhousia monogyna,Widespread and common in openforest woodland and heathland from near sealevel to c 1700 m on the Bogong High Plains,Widespread and common in openforest woodland and heathland from near sealevel to c 1700 m on the Bogong High Plains,NA,NA,forest_open heath woodland,openforest heathland woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia nuda,In Victoria confined to lowland wet heaths and peaty swamps from Marlo district east to the New South Wales border,In Victoria confined to lowland wet heaths and peaty swamps from Marlo district east to the New South Wales border,NA,NA,heath swamp,heaths swamps swamps,NA,NA,NA,NA,peat,peaty,NA,NA,NA,NA
Stackhousia pulvinaris,Occurs in alpine herbfields and subalpine grasslands often in small depressions that are inundated following snowmelt,Occurs in alpine herbfields and subalpinegrasslands often in small depressions that are inundated following snowmelt,NA,NA,alpine,alpine,depressions,depressions,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia spathulata,Occasional on foredunes of ocean beaches but patchily distributed and seldom common,Occasional on foresandduness of ocean beaches but patchily distributed and seldom common,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stackhousia subterranea,Occurs chiefly on fertile loam or clay soils in the western part of the State in grassland or open woodland communities Occasional in drier woodlands sometimes mallee on poorer soils eg Terrick Terrick Wyperfeld NP,Occurs chiefly on fertile loam or clay soils in the western part of the State in grassland or open woodland communities Occasional in drier woodlands sometimes mallee on poorer soils eg Terrick Terrick Wyperfeld NP,NA,NA,grassland mallee woodland,grassland mallee woodland,NA,NA,NA,NA,clay loam,clay loam,NA,NA,NA,NA
Stackhousia viminea,Except for the north and northwest scattered through the state rare in far southwest occurring mostly on sandy or shallow rocky soils from near sealevel to montane areas eg near Bogong Village in heathland openforest and woodland,Except for the north and northwest scattered through the state rare in far southwest occurring mostly on sandy or shallow rockysoils from near sealevel to montane areas eg near Bogong Village in heathland openforest and woodland,rare,rare,forest_open heath,openforest heathland,NA,NA,NA,NA,rocky sand,rockysoils sandy,NA,NA,NA,NA
Stellaria angustifolia,Grows in swamps and seasonally flooded sites and in damp areas of eucalypt forests,Grows in swamps and seasonally flooded sites and in damp areas of eucalypt forests,NA,NA,forest swamp,forests swamps swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria angustifolia subsp. angustifolia,Widespread in swampy places from alpine swamps to the Murray River floodplain and less frequently near sea level in southern Victoria,Widespread in swampy places from alpine swamps to the Murray River floodplain and less frequently near sea level in southern Victoria,NA,NA,alpine floodplain swamp,alpine floodplain swamps swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria angustifolia subsp. rotundisepala,This subspecies is known from alpine bogs Recorded once in Victoria near the Timbarra River east of Omeo in 1959 Further searches are required in Victoria to establish if this subspecies still occurs in Victoria,This subspecies is known from alpinebogs Recorded once in Victoria near the Timbarra River east of Omeo in 1959 Further searches are required in Victoria to establish if this subspecies still occurs in Victoria,NA,NA,bogs_alpine,alpinebogs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria angustifolia subsp. tenella,Scattered throughout coastal and inland wetlands,Scattered throughout coastal and inland wetlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria filiformis,Largely confined in Victoria to the northwest where occasional in mallee scrub and heathlands mainly on sandy soils but with isolated records from near Dimboola and the Grampians,Largely confined in Victoria to the northwest where occasional in malleescrub and heathlands mainly on sandy soils but with isolated records from near Dimboola and the Grampians,NA,NA,shrubland_mallee heath mallee,malleescrub heathlands mallees,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stellaria flaccida,Common in damp shaded forests and riparian scrubs from near sealevel to subalps,Common in damp shaded forests and riparian scrubs from near sealevel to subalps,NA,NA,forest scrub,forests scrubs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria graminea,Also naturalised Native to Europe Asia Known in Victoria by a single 1946 collection from Cann River In other States it is an uncommon weed occurring in alpine areas on edges of rivers and swamps,Also naturalised Native to Europe Asia Known in Victoria by a single 1946 collection from Cann River In other States it is an uncommon weed occurring in alpine areas on edges of rivers and swamps,NA,NA,alpine swamp,alpine swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria media,Naturalized all States Native to Europe Common and widespread weed of disturbed damp areas,Naturalized all States Native to Europe Common and widespread weed of disturbed damp areas,NA,NA,widespread,widespread,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria multiflora,Scattered but rather uncommon occurring in various habitats including dry mallee scrubs lowland forests and heathlands and alpine grassland,Scattered but rather uncommon occurring in various habitats including dry malleescrubs lowland forests and heathlands and alpine grassland,NA,NA,shrubland_mallee alpine forest heath mallee,malleescrubs alpine forests heathlands mallees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria multiflora subsp. collaris,Apparently uncommon in Victoria collected from northern Victoria and Whipstick Forest near Bendigo Usually on sandy soils,Apparently uncommon in Victoria collected from northern Victoria and Whipstick Forest near Bendigo Usually on sandy soils,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stellaria multiflora subsp. multiflora,Scattered but rather uncommon occurring in a range of habitats including low forest and heathlands and alpine grassland,Scattered but rather uncommon occurring in a range of habitats including low forest and heathlands and alpine grassland,NA,NA,alpine forest heath,alpine forest heathlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria multiflora subsp. nebulosa,� Apparently uncommon scattered throughout central and western Victoria,� Apparently uncommon scattered throughout central and western Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria pallida,Also naturalised Native to Europe A weed of disturbed areas such as roadsides camping grounds and riverbanks,Also naturalised Native to Europe A weed of disturbed areas such as roadsidess camping grounds and riverbanks,NA,NA,roadside,roadsidess,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stellaria papillata,Known by a few collections along the Murray River in low lying sites�on river clays Walpolla Is west of Mildura near Robinvale and Yarrawonga Otherwise known from clay plains and river flats in western New South Wales,Known by a few collections along the Murray River in low lying sites�on river clays Walpolla Is west of Mildura near Robinvale and Yarrawonga Otherwise known from clay plains and riverflats in western New South Wales,NA,NA,plains,plains,flat,riverflats,NA,NA,clay,clays,NA,NA,NA,NA
Stellaria pungens,Widespread in forests and woodlands of southern to northeastern Victoria common in montane to alpine areas,Widespread in forests and woodlands of southern to northeastern Victoria common in montane to alpine areas,NA,NA,alpine forest woodland,alpine forests woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stemodia florulenta,In Victoria largely confined to the floodplain of the Murray River downstream of Cohuna area but also fringing Lake Albacutya and temporary lakes of its overflow Usually occurring on heavier loams or clays sometimes saline in temporarily inundated sites,In Victoria largely confined to the floodplain of the Murray River downstream of Cohuna area but also fringing Lake Albacutya and temporary lakes of its overflow Usually occurring on heavier loams or clays sometimes saline in temporarily inundated sites,NA,NA,floodplain lakes,floodplain lakes,NA,NA,NA,NA,clay loam,clays loams,NA,NA,saline,saline
Stemodia glabella,All mainland states Apparently very rare in Victoria where known with certainty only from clay soils on banks or floodplains of the Murray River near Cohuna Kerang and Piangil areas and the extreme northwest corner of the State,All mainland states Apparently very rare in Victoria where known with certainty only from clay soils on banks or floodplains of the Murray River near Cohuna Kerang and Piangil areas and the extreme northwest corner of the State,rare,rare,floodplain,floodplains,NA,NA,NA,NA,clay,clay,NA,NA,NA,NA
Stenanthemum leucophractum,Locally common particularly following fire or other disturbance in sandy mallee areas north of and including the Little Desert,Locally common particularly following fire or other disturbance in sandy mallee areas north of and including the Little Desert,NA,NA,mallee,mallee,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stenanthemum notiale,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenanthemum notiale subsp. notiale,Extremely rare in Victoria recorded only from Hattah 1951 1952 near Annuello 1970 1972 and northern Wyperfeld NP 2006 where growing on sandstone ridge supporting broombush Melaleuca uncinata mallee Apparently shortlived and perhaps appearing only following disturbance eg clearing fire,Extremely rare in Victoria recorded only from Hattah 1951 1952 near Annuello 1970 1972 and northern Wyperfeld NP 2006 where growing on sandstone ridge supporting broombush Melaleuca uncinata mallee Apparently shortlived and perhaps appearing only following disturbance eg clearing fire,rare,rare,mallee,mallee,ridge,ridge,NA,NA,sand,sands,NA,NA,sandstone,sandstone
Stenanthera conostephioides,Occurs in heathland heathy woodland and mallee scrub on welldrained soils,Occurs in heathland heathy woodland and malleescrub on welldrained soils,NA,NA,shrubland_mallee heath mallee woodland,malleescrub heathland mallees woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenanthera pinifolia,Occurs principally in heathland and heathy woodland on sandy or rocky sites chiefly in the Grampians where moderately common but with disjunct occurrences further east eg near Avenel Moroka Gorge Gippsland Lakes area eg Sperm Whale Head,Occurs principally in heathland and heathy woodland on sandy or rockysites chiefly in the Grampians where moderately common but with disjunct occurrences further east eg near Avenel Moroka Gorge Gippsland Lakes area eg Sperm Whale Head,NA,NA,heath rocky woodland,heathland rockysites woodland,NA,NA,NA,NA,rocky sand,rockysites sandy,NA,NA,NA,NA
Stenocarpus salignus,Native to Queensland and New South Wales and extending into Papua New Guinea often cultivated known in Victoria from a single population near Mount Martha plants spreading from planted trees,Native to Queensland and New South Wales and extending into Papua New Guinea often cultivated known in Victoria from a single population near Mount Martha plants spreading from planted trees,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenopetalum lineare,Scattered across Victoria but mostly in drier north and northwest areas,Scattered across Victoria but mostly in drier north and northwest areas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenopetalum sphaerocarpum,Grows on sandy soil in northwest Victoria extending south to Mt Arapiles,Grows on sandy soil in northwest Victoria extending south to Mt Arapiles,NA,NA,NA,NA,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stenopetalum velutinum,Known from a few collections from Wimmera region in the nineteenth century but now apparently very rare in Victoria known only from a 1981 collection from Mildura and a 2003 report from the Big Desert Cheal 2010,Known from a few collections from Wimmera region in the nineteenth century but now apparently very rare in Victoria known only from a 1981 collection from Mildura and a 2003 report from the Big Desert Cheal 2010,rare,rare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stenotaphrum secundatum,Naturalized in all States Native to tropical and warmtemperate areas of North and South America and Africa Widely planted as a tough hardy lawn grass and naturalised along roadsides stream verges and nearcoastal areas particularly on lowland sandy soils,Naturalized in all States Native to tropical and warmtemperate areas of North and South America and Africa Widely planted as a tough hardy lawn grass and naturalised along roadsidess stream verges and nearcoastal areas particularly on lowland sandy soils,NA,NA,roadside,roadsidess,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Sticherus flabellatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sticherus flabellatus var. flabellatus,Restricted in Victoria to the far east eg Tamboon Inlet Mt Drummer Howe Range areas where sometimes forming extensive colonies along cool shaded stream margins,Restricted in Victoria to the far east eg Tamboon Inlet Mt Drummer Howe Range areas where sometimes forming extensive colonies along cool shaded stream margins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sticherus lobatus,including Cape Barren Is and King Is In forested areas particularly moist slopes in the south and east of Victoria but most common in East Gippsland,including Cape Barren Is and King Is In forested areas particularly moist slopes in the south and east of Victoria but most common in East Gippsland,NA,NA,NA,NA,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Sticherus tener,including Bass Strait islands Occurs in moist forested gullies sheltered slopes and rocky stream verges,including Bass Strait islands Occurs in moist forested gullies sheltered slopes and rocky stream verges,NA,NA,NA,NA,gullies slopes,gullies slopes,NA,NA,NA,NA,NA,NA,NA,NA
Sticherus urceolatus,Occurs in moist forested gullies sheltered slopes and rocky stream verges,Occurs in moist forested gullies sheltered slopes and rocky stream verges,NA,NA,NA,NA,gullies slopes,gullies slopes,NA,NA,NA,NA,NA,NA,NA,NA
Stuartina hamata,Weakly naturalised as a wool adventive in Britain In Victoria confined to the northwest where recorded mainly from mallee eucalypt and Callitris communities,Weakly naturalised as a wool adventive in Britain In Victoria confined to the northwest where recorded mainly from mallee eucalypt and Callitris communities,NA,NA,mallee,mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stuartina muelleri,Naturalized as a wool adventive in New Zealand and Scotland Widespread on sandy or shallow rocky soils through much of the State usually growing in areas of higher rainfall than those occupied by S hamata,Naturalized as a wool adventive in New Zealand and Scotland Widespread on sandy or shallow rockysoils through much of the State usually growing in areas of higher rainfall than those occupied by S hamata,NA,NA,NA,NA,NA,NA,NA,NA,rocky sand,rockysoils sandy,NA,NA,NA,NA
Stuckenia pectinata,Occurs in fresh to brackish or saline water either still or fast flowing of agricultural dams lakes and creeks,Occurs in fresh to brackish or saline water either still or fast flowing of agricultural dams lakes and creeks,NA,NA,lakes,lakes,NA,NA,NA,NA,NA,NA,NA,NA,saline,saline
Stylidium androsaceum,Rare in Victoria where recorded only from the Grampians and nearby Deep Lead,Rare in Victoria where recorded only from the Grampians and nearby Deep Lead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium armeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium armeria subsp. armeria,Except for northwest mallee areas and areas of heavier alluvial soils eg Wimmera and Riverina and to a large extent the Volcanic Plain widespread throughout the State from the coast on foredunes at eg Wilsons Promontory and islands of Corner Inlet to the�alps usually within snowgum woodlands,Except for northwest mallee areas and areas of heavier alluvial soils eg Wimmera and Riverina and to a large extent the Volcanic Plain widespread throughout the State from the coast on foresandduness at eg Wilsons Promontory and islands of Corner Inlet to the�alps usually within snowgum woodlands,NA,NA,mallee widespread woodland,mallee widespread woodlands,NA,NA,NA,NA,alluvial,alluvial,NA,NA,NA,NA
Stylidium armeria subsp. pilosifolium,Restricted to dry shaly soils in grassy or heathy woodland in the southeast Macedon Ranges near Barringo and Riddels Creek and also in the Pyrete Range,Restricted to dry shaly soils in grassy or heathy woodland in the southeast Macedon Ranges near Barringo and Riddels Creek and also in the Pyrete Range,NA,NA,woodland,woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium beaugleholei,Scattered in moist lowland heaths and drying swamps from the South Australian border to the far east near Mallacoota,Scattered in moist lowland heaths and drying swamps from the South Australian border to the far east near Mallacoota,NA,NA,heath swamp,heaths swamps swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium despectum,Except for the far northwest widespread in Victoria in drying lowland swamps and margins of watercourses In southeastern Australia Stylidium despectum often grows with S beaugleholei andor S perpusillum,Except for the far northwest widespread in Victoria in drying lowlandswamps and margins of watercourses In southeastern Australia Stylidium despectum often grows with S beaugleholei andor S perpusillum,NA,NA,swamp_lowland widespread,lowlandswamps widespread,watercourses,watercourses,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium ecorne,Scattered from southwestern Victoria to Wangaratta area usually in winterwet often sandy soils in Yellow Gum woodlands BoxIronbark forests open heathy swamps etc,Scattered from southwestern Victoria to Wangaratta area usually in winterwet often sandy soils in Yellow Gum woodlands BoxIronbark forests open heathy swamps etc,NA,NA,forest swamp woodland,forests swamps swamps woodlands,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Stylidium graminifolium,Locally common in Victoria in sandy or gravelly soils of heaths woodlands and openforests from near sealevel to lower montane areas,Locally common in Victoria in sandy or gravelly soils of heaths woodlands and openforests from near sealevel to lower montane areas,NA,NA,forest_open heath woodland,openforests heaths woodlands,NA,NA,NA,NA,gravelly sand,gravelly sandy,NA,NA,NA,NA
Stylidium laricifolium,Localized in Victoria in moist heathy forests on coarse granitic soils around Wingan Inlet East Gippsland,Localized in Victoria in moist heathy forests on coarse granitic soils around Wingan Inlet East Gippsland,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,granite,granitic
Stylidium montanum,Restricted to subalpine and alpine grasslands woodlands and swamps where locally common on dark waterretentive soils eg Mt Buffalo Snowy Range Dargo and Bogong High Plains Nunniong Plateau Mt Cobberas area,Restricted to subalpine and alpinegrasslands woodlands and swamps where locally common on dark waterretentive soils eg Mt Buffalo Snowy Range Dargo and Bogong High Plains Nunniong Plateau Mt Cobberas area,NA,NA,grasslands_alpine subalpine swamp woodland,alpinegrasslands subalpine swamps swamps woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium perpusillum,Scattered in damp lowland heaths or seasonal swamps from lower Glenelg River area to Western Port eg Quail Island and an easterly outlier on Wilsons Promontory,Scattered in damp lowland heaths or seasonal swamps from lower Glenelg River area to Western Port eg Quail Island and an easterly outlier on Wilsons Promontory,NA,NA,heath swamp,heaths swamps swamps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stylidium soboliferum,Endemic in Victoria where confined to the Grampians in seasonally damp sandy ground track and stream margins etc broken rocky slopes and mossy ledges of sandstone cliffs Locally rather common,Endemic in Victoria where confined to the Grampians in seasonally damp sandy ground track and stream margins etc broken rockyslopes and mossy ledges of sandstone cliffs Locally rather common,NA,NA,NA,NA,slopes_rocky,rockyslopes,NA,NA,sand,sands sandy,NA,NA,sandstone,sandstone
Stypandra glauca,Widespread and locally common in dry forests woodlands and heaths often in rocky situations,Widespread and locally common in dry forests woodlands and heaths often in rocky situations,NA,NA,forest heath woodland,forests heaths woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
