Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution,Species,In,In cultivation,By experiment,
Eucalyptus lehmanniii,field_resistant,Eucalyptus lehmannii,Eucalyptus lehmannii,Myrtaceae,WA,Elaeocarpus holopetalus,,,,MS22
Eucalyptus megacarpa,field_resistant,Eucalyptus megacarpa,Eucalyptus megacarpa,Myrtaceae,WA,Elaeocarpus largiflorens subsp. retinervis,,,,FR36
Eucalyptus nitida,field_resistant,Eucalyptus nitida,Eucalyptus nitida,Myrtaceae,Tas,Elaeocarpus sericopetalus,,,,S36
Eucalyptus occidentalis,field_resistant,Eucalyptus occidentalis,Eucalyptus occidentalis,Myrtaceae,"WA, Vic (naturalised)",Sloanea australis subsp. parviflora,,,,S36
Eucalyptus ovata s.l.,field_resistant,Eucalyptus ovata,Eucalyptus ovata,Myrtaceae,"SA, NSW, Vic, Tas",Sloanea macbrydei,,,,FR36
Eucalyptus pachyloma,field_resistant,Eucalyptus pachyloma,Eucalyptus pachyloma,Myrtaceae,WA,Acrotriche cordata,,,9,HS9
Eucalyptus patens,field_resistant,Eucalyptus patens,Eucalyptus patens,Myrtaceae,WA,Acrotriche fasciculiflora,,,,S57
Eucalyptus pauciflora s.l.,field_resistant,Eucalyptus pauciflora,Eucalyptus pauciflora,Myrtaceae,"SA, Qld, NSW, ACT, Vic, Tas",Acrotriche halmaturina,19,,,
Eucalyptus preissiana,field_resistant,Eucalyptus preissiana,Eucalyptus preissiana,Myrtaceae,WA,Acrotriche patula,,,,HS41
Eucalyptus pulchella,field_resistant,Eucalyptus pulchella,Eucalyptus pulchella,Myrtaceae,Tas,Acrotriche serrulata,"4,17,25, 29",,,S43
Eucalyptus rudis,field_resistant,Eucalyptus rudis,Eucalyptus rudis,Myrtaceae,WA,Andersonia auriculata,,,,HS41
Eucalyptus spathulata,field_resistant,Eucalyptus spathulata,Eucalyptus spathulata,Myrtaceae,"WA, Vic (doubtfully naturalised)",Andersonia axilliflora E,58,,,"S49,HS41,58,59"
Eucalyptus talyuberlup,field_resistant,Eucalyptus talyuberlup,Eucalyptus talyuberlup,Myrtaceae,WA,Andersonia bifida,,,,HS41
Eucalyptus uncinata,field_resistant,Eucalyptus uncinata,Eucalyptus uncinata,Myrtaceae,WA,Andersonia caerulea,,,,"S46,51,HS40,59"
Eucalyptus viminalis,field_resistant,Eucalyptus viminalis [alternative possible names: Corymbia tessellaris (taxonomic synonym) | Eucalyptus dalrympleana subsp. dalrympleana (pro parte misapplied) | Eucalyptus diversifolia subsp. diversifolia (pro parte misapplied) | Eucalyptus nobilis (misapplied)],Eucalyptus viminalis,Myrtaceae,"SA, NSW, ACT, Vic, Tas",Andersonia carinata,,,,HS41
Eucalyptus wandoo,field_resistant,Eucalyptus wandoo,Eucalyptus wandoo,Myrtaceae,WA,Andersonia echinocephala,58,,,"HS41,58,59,MS40"
Homalospermum firmum,field_resistant,Homalospermum firmum,Homalospermum firmum,Myrtaceae,WA,Andersonia ferricola,39,,,S39
Hypocalymma phillipsii,field_resistant,Hypocalymma phillipsii,Hypocalymma phillipsii,Myrtaceae,WA,Andersonia grandiflora,,,,"HS41,MS58"
Hypocalymma speciosum,field_resistant,Hypocalymma speciosum,Hypocalymma speciosum,Myrtaceae,WA,Andersonia heterophylla,37,,,"S37,46"
Kunzea preissiana,field_resistant,Kunzea preissiana [alternative possible names: Kunzea strigosa (pro parte misapplied)],Kunzea preissiana,Myrtaceae,WA,Andersonia lehmanniana,,,,"S37,46"
Leptospermum erubescens,field_resistant,Leptospermum erubescens,Leptospermum erubescens,Myrtaceae,WA,Andersonia longifolia,,,,HS41
Leptospermum scoparium,field_resistant,Leptospermum scoparium,Leptospermum scoparium,Myrtaceae,"NSW, Vic, Tas",Andersonia macranthera,,,,HS41
Melaleuca cuticularis,field_resistant,Melaleuca cuticularis,Melaleuca cuticularis,Myrtaceae,"WA, SA",Andersonia pinaster V,58,,,"HS40,41,58"
Melaleuca diosmifolia,field_resistant,Melaleuca diosmifolia,Melaleuca diosmifolia,Myrtaceae,"WA (native and naturalised), Vic (naturalised)",Andersonia setifolia,,,,HS41
Melaleuca holosericea,field_resistant,Melaleuca holosericea,Melaleuca holosericea,Myrtaceae,WA,Andersonia simplex,51,,,"S51,MS40"
Melaleuca lanceolata,field_resistant,Melaleuca lanceolata,Melaleuca lanceolata,Myrtaceae,"WA (native and naturalised), SA, Qld, NSW, Vic",Andersonia sprengelioides,,,,"HS40,59"
Melaleuca laxiflora,field_resistant,Melaleuca laxiflora,Melaleuca laxiflora,Myrtaceae,WA,Astroloma baxteri,,,,LS40
Melaleuca macronychia,field_resistant,Melaleuca macronychia,Melaleuca macronychia,Myrtaceae,WA,Astroloma ciliatum,"48,28",,,S48
Melaleuca microphylla,field_resistant,Melaleuca microphylla,Melaleuca microphylla,Myrtaceae,"WA, SA (naturalised)",Astroloma conostephioides,"25,29",,,S43
Melaleuca nesophila,field_resistant,Melaleuca nesophila,Melaleuca nesophila,Myrtaceae,"WA (native and naturalised), SA (naturalised), Vic (naturalised)",Astroloma foliosum,,,,HS41
Melaleuca pentagona s.l.,field_resistant,Melaleuca pentagona,Melaleuca pentagona,Myrtaceae,WA (native and naturalised),Astroloma humifusum,"17,25,34",,,"S43,HS10"
Melaleuca pulchella,field_resistant,Melaleuca pulchella,Melaleuca pulchella,Myrtaceae,WA,Astroloma microcalyx,14,,,
Melaleuca seriata,field_resistant,Melaleuca seriata,Melaleuca seriata,Myrtaceae,WA,Astroloma microphyllum,,,,LS41
Melaleuca spathulata,field_resistant,Melaleuca spathulata,Melaleuca spathulata,Myrtaceae,WA,Astroloma pallidum,,,,"FR21,24"
Melaleuca suberosa,field_resistant,Melaleuca suberosa,Melaleuca suberosa,Myrtaceae,WA,Astroloma pinifolium,"17,34",,,S60
Melaleuca violacea,field_resistant,Melaleuca violacea,Melaleuca violacea,Myrtaceae,WA,Astroloma xerophyllum,37,,,"S37,46,55"
Rhodamnia sessiliflora,field_resistant,Rhodamnia sessiliflora,Rhodamnia sessiliflora,Myrtaceae,Qld,Astroloma sp. Cataby (EA Griffin 1022),,,,HS41
Syzygium cormiflorum,field_resistant,Syzygium cormiflorum,Syzygium cormiflorum,Myrtaceae,Qld,Astroloma sp. Eneabba (N Marchant s.n.),,,,HS41
Syzygium johnsonii,field_resistant,Syzygium johnsonii,Syzygium johnsonii,Myrtaceae,Qld,Astroloma sp. Fitzgerald (GJ Keighery 8376),,,,LS41
Syzygium wesa,field_resistant,Syzygium wesa,Syzygium wesa,Myrtaceae,Qld,Astroloma sp. Grass Patch (AJG Wilson 110),,,,LS41
Verticordia habrantha,field_resistant,Verticordia habrantha,Verticordia habrantha,Myrtaceae,WA,Astroloma sp. Mt Lindesay,,,,HS59
Waterhousia unipunctata,field_resistant,Syzygium unipunctatum,Syzygium unipunctatum,Myrtaceae,Qld,Astroloma sp. Nannup (RD Royce 3978),,,,HS41
Brackenridgea nitida subsp. australiana,field_resistant,Brackenridgea australiana,Brackenridgea australiana,Ochnaceae,Qld,Astroloma sp. 2504,,,,HS40
Olax phyllanthi,field_resistant,Olax phyllanthi,Olax phyllanthi,Olacaceae,WA,Brachyloma ciliatum,25,,,S43
Chionanthus axillaris,field_resistant,Chionanthus axillaris,Chionanthus axillaris,Oleaceae,Qld,Brachyloma daphnoides s.l.,"3,25,29",,,S43
Cryptostylis ovata,field_resistant,Cryptostylis ovata,Cryptostylis ovata,Orchidaceae,WA,Brachyloma depressum,29,,,HS29
Drakea confluens E,field_resistant,Drakaea confluens,Drakaea confluens,Orchidaceae,WA,Coleanthera coelophylla,,,,HS41
Eriochilus dilatatus,field_resistant,Eriochilus dilatatus,Eriochilus dilatatus,Orchidaceae,WA,Coleanthera virgata,,,,LS41
Leporella fimbriata,field_resistant,Leporella fimbriata,Leporella fimbriata,Orchidaceae,"WA, SA, Vic",Conostephium marchantiorum,,,,LS41
Mecopodum parvifolium,field_resistant,Prasophyllum parvifolium,Prasophyllum parvifolium,Orchidaceae,WA,Conostephium minus,,,,HS41
Pterostylis vittata,field_resistant,Pterostylis vittata,Pterostylis vittata,Orchidaceae,WA,Conostephium pendulum,"14,24,37",,,S46
Pterostylis aff. nana,field_resistant,Pterostylis angulata,Pterostylis angulata,Orchidaceae,WA,Conostephium uncinatum,,,,LS41
Pyrorchis nigricans,field_resistant,Pyrorchis nigricans,Pyrorchis nigricans,Orchidaceae,"WA, SA, NSW, Vic, Tas",Cosmelia rubra,,,,MS40
Thelymitra crinita,field_resistant,Thelymitra crinita,Thelymitra crinita,Orchidaceae,WA,Cyathodes glauca,"2,17,34",,,
Thelymitra pauciflora s.l.,field_resistant,Thelymitra pauciflora [alternative possible names: Thelymitra albiflora (pro parte misapplied) | Thelymitra arenaria (pro parte misapplied) | Thelymitra batesii (pro parte misapplied) | Thelymitra bracteata (pro parte misapplied) | Thelymitra brevifolia (pro parte misapplied) | Thelymitra crenulata (pro parte misapplied) | Thelymitra cyanapicata (pro parte misapplied) | Thelymitra exigua (pro parte misapplied) | Thelymitra inflata (pro parte misapplied) | Thelymitra latifolia (pro parte misapplied) | Thelymitra malvina (pro parte misapplied) | Thelymitra odora (pro parte misapplied) | Thelymitra pallidifructus (pro parte misapplied) | Thelymitra peniculata (pro parte misapplied) | Thelymitra brevifolia (misapplied) | Thelymitra vulgaris (misapplied)],Thelymitra pauciflora,Orchidaceae,"Qld, NSW, ACT, Vic, Tas",Epacris acuminata E,34,,,
Johnsonia lupulina s.l.,field_resistant,Johnsonia lupulina,Johnsonia lupulina,Hemerocallidaceae,WA,Epacris apsleyensis E,,,,HS9
Tricoryne elatior,field_resistant,Tricoryne elatior,Tricoryne elatior,Hemerocallidaceae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas",Epacris barbata CE,,,,HS61
Billardiera drummondiana,field_resistant,Marianthus drummondianus,Marianthus drummondianus,Pittosporaceae,WA,Epacris corymbiflora,17,,33,HS61
Billardiera fraseri,field_resistant,Billardiera fraseri,Billardiera fraseri,Pittosporaceae,WA,Epacris curtisiae,,,9,HS60
Pittosporum phillyreoides,field_resistant,Pittosporum phillyreoides,Pittosporum phillyreoides,Pittosporaceae,WA,Epacris exserta E,,,9,MS9
Agrostis aemula,field_resistant,Lachnagrostis aemula,Lachnagrostis aemula,Poaceae,"WA, SA, Qld, NSW, LHI, ACT, Vic, Tas",Epacris glabella E,,,9,MS9
Amphipogon laguroides s.l.,field_resistant,Amphipogon laguroides,Amphipogon laguroides,Poaceae,WA,Epacris grandis E,,,9,HS9
Anisopogon avenaceus,field_resistant,Anisopogon avenaceus,Anisopogon avenaceus,Poaceae,"NSW, Vic",Epacris gunnii,"8,17",,,
Austrostipa compressa,field_resistant,Austrostipa compressa,Austrostipa compressa,Poaceae,WA,Epacris impressa,"2,4,13,1718,25,29,34",3,,"S43,LS60"
Deyeuxia drummondii E,field_resistant,Deyeuxia drummondii,Deyeuxia drummondii,Poaceae,WA,Epacris lanuginosa,"17,34",,,S60
Entolasia stricta,field_resistant,Entolasia stricta,Entolasia stricta,Poaceae,"Qld, NSW, Vic",Epacris limbata CE,,,9,HS9
Neurachne alopecuroidea,field_resistant,Neurachne alopecuroidea,Neurachne alopecuroidea,Poaceae,"WA, SA, Vic",Epacris marginata,,,9,HS9
Poa poiformis,field_resistant,Poa poiformis,Poa poiformis,Poaceae,"WA, SA, NSW, LHI, Vic, Tas",Epacris myrtifolia,,,9,HS9
Poa porphyroclados,field_resistant,Poa porphyroclados,Poa porphyroclados,Poaceae,WA,Epacris obtusifolia,17,,,S60
Poa sieberiana,field_resistant,Poa sieberiana,Poa sieberiana,Poaceae,"SA, Qld, NSW, ACT, Vic, Tas",Epacris paludosa,,,9,HS9
Tetrarrhena juncea,field_resistant,Tetrarrhena juncea,Tetrarrhena juncea,Poaceae,"SA, Qld, Vic, Tas",Epacris purpurascens ,1,,,
Comesperma calymega,field_resistant,Comesperma calymega,Comesperma calymega,Polygalaceae,"WA, SA, Vic, Tas",Epacris stuartii CE,,,9,MS9
Comesperma confertum,field_resistant,Comesperma confertum,Comesperma confertum,Polygalaceae,WA,Epacris virgata,,,9,HS9
Grevillea hookeriana,field_resistant,Grevillea hookeriana [alternative possible names: Grevillea baxteri (pro parte misapplied) | Grevillea tetragonoloba (pro parte misapplied) | Grevillea cagiana (misapplied)],Grevillea hookeriana,Proteaceae,WA,Epacridaceae gen. nov. (aff. Melichrus),,,,HS41
Grevillea pilulifera,field_resistant,Grevillea pilulifera,Grevillea pilulifera,Proteaceae,WA,Gaultheria hispida,"17,34",,,
Grevillea synapheae,field_resistant,Grevillea synapheae,Grevillea synapheae,Proteaceae,WA,Leptecophylla juniperina,17,,,S60
Grevillea wilsonii,field_resistant,Grevillea wilsonii,Grevillea wilsonii,Proteaceae,WA,Leptecophylla pendulosa,,,9,HS9
Hakea amplexicaulis,field_resistant,Hakea amplexicaulis,Hakea amplexicaulis,Proteaceae,WA,Leucopogon amplectens,,,,HS41
Hakea corymbosa,field_resistant,Hakea corymbosa,Hakea corymbosa,Proteaceae,WA,Leucopogon apiculatus,,,,HS41
Hakea petiolaris,field_resistant,Hakea petiolaris,Hakea petiolaris,Proteaceae,"WA, Vic (doubtfully naturalised)",Leucopogon atherolepis,58,,,"HS59,MS58"
Hakea stenocarpa,field_resistant,Hakea stenocarpa,Hakea stenocarpa,Proteaceae,WA,Leucopogon australis s.l.,"14,17,25",,,"S37,43,46,53, LS40,59"
Persoonia levis,field_resistant,Persoonia levis,Persoonia levis,Proteaceae,"NSW, Vic",Leucopogon blepharolepis,,,,HS41
Persoonia linearis,field_resistant,Persoonia linearis,Persoonia linearis,Proteaceae,"NSW, Vic",Leucopogon bracteolaris,,,,HS41
Stenocarpus sinuatus,field_resistant,Stenocarpus sinuatus,Stenocarpus sinuatus,Proteaceae,"Qld, NSW",Leucopogon brevicuspis,,,,HS41
Anarthria gracilis,field_resistant,Anarthria gracilis,Anarthria gracilis,Anarthriaceae,WA,Leucopogon breviflorus,,,,HS41
Anarthria prolifera,field_resistant,Anarthria prolifera,Anarthria prolifera,Anarthriaceae,WA,Leucopogon capitellatus,"14,28",,,"S24,37,46,48, MS21,40"
Anarthria scabra,field_resistant,Anarthria scabra,Anarthria scabra,Anarthriaceae,WA,Leucopogon collinus,"17,34",,,HS60
Calorophus exsulcus,field_resistant,Hypolaena exsulca,Hypolaena exsulca,Restionaceae,WA,Leucopogon concinnus,,,,S46
Chordifex abortivus E,field_resistant,Chordifex abortivus,Chordifex abortivus,Restionaceae,WA,Leucopogon concurvus,,,,S20
Chordifex isomorphus,field_resistant,Chordifex isomorphus,Chordifex isomorphus,Restionaceae,WA,Leucopogon conostephioides,"14,24,37",,,"S46,LS40,HS14"
Harperia confertospicata,field_resistant,Desmocladus confertospicatus,Desmocladus confertospicatus,Restionaceae,WA,Leucopogon cordifolius,,,,HS41
Leptocarpus tenax,field_resistant,Leptocarpus tenax,Leptocarpus tenax,Restionaceae,"WA, SA, Qld, NSW, Vic, Tas",Leucopogon corifolius,,,,MS40
Lepyrodia scariosa,field_resistant,Lepyrodia scariosa,Lepyrodia scariosa,Restionaceae,"Qld, NSW",Leucopogon cryptanthus,,,,HS41
Restio confertospicatus,field_resistant,Desmocladus confertospicatus,Desmocladus confertospicatus,Restionaceae,WA,Leucopogon cucullatus,,,,LS40
Atractocarpus fitzalanii subsp. tenuipes,field_resistant,Atractocarpus fitzalanii subsp. tenuipes,Atractocarpus fitzalanii subsp. tenuipes,Rubiaceae,Qld,Leucopogon cymbiformis,,,,MS40
Boronia spathulata,field_resistant,Boronia spathulata,Boronia spathulata,Rutaceae,WA,Leucopogon denticulatus,,,,HS41
Brombya platynema,field_resistant,Brombya platynema,Brombya platynema,Rutaceae,Qld,Leucopogon distans var. contractus,,,,S40
Flindersia pimenteliana,field_resistant,Flindersia pimenteliana,Flindersia pimenteliana,Rutaceae,Qld,Leucopogon distans s.l.,,,,HS40
Melicope elleryana,field_resistant,Melicope elleryana,Melicope elleryana,Rutaceae,"WA, NT, Qld, NSW",Leucopogon elegens,51,,,S51
Muiriantha hassellii,field_resistant,Muiriantha hassellii,Muiriantha hassellii,Rutaceae,WA,Leucopogon ericoides,"17,25,29,34",3,,"S43,HS60"
Leptomeria eriocoides,field_resistant,Leptomeria ericoides,Leptomeria ericoides,Santalaceae,WA,Leucopogon esquamatus,,,9,MS9
Dodonaea viscosa s.l.,field_resistant,Dodonaea viscosa,Dodonaea viscosa,Sapindaceae,"WA, CoI, ChI, NT, SA, Qld, NSW, LHI, NI, ACT, Vic, Tas",Leucopogon flavescens ,,,,"S46,51"
Mischocarpus macrocarpus,field_resistant,Mischocarpus macrocarpus,Mischocarpus macrocarpus,Sapindaceae,Qld,Leucopogon florulentus,,,,HS41
Pouteria euphlebia,field_resistant,Planchonella euphlebia,Planchonella euphlebia,Sapotaceae,Qld,Leucopogon gibbosus,,,,"HS40,59"
Pouteria papyracea,field_resistant,Pleioluma papyracea,Pleioluma papyracea,Sapotaceae,Qld,Leucopogon glabellus,15,,,
Pouteria pearsoniorum,field_resistant,Pleioluma macrocarpa,Pleioluma macrocarpa,Sapotaceae,Qld,Leucopogon glacialis,"25,29",,,S43
Tripterococcus brunonis,field_resistant,Tripterococcus brunonis,Tripterococcus brunonis,Celastraceae,WA,Leucopogon glaucifolius,,,,HS41
Lasiopetalum membranifolium,field_resistant,Lasiopetalum membraniflorum,,Malvaceae,,Leucopogon gnaphaloides E,58,,,"HS58,59"
Levenhookia pusilla,field_resistant,Levenhookia pusilla,Levenhookia pusilla,Stylidiaceae,"WA, SA, Vic",Leucopogon gracillimus,,,,S46
Levenhookia stipitata,field_resistant,Levenhookia stipitata,Levenhookia stipitata,Stylidiaceae,"WA, SA",Leucopogon interruptus,,,,HS41
Stylidium brunonianum,field_resistant,Stylidium brunonianum [alternative possible names: Stylidium araeophyllum (pro parte misapplied) | Stylidium purpureum (pro parte misapplied) | Stylidium tenue subsp. majusculum (pro parte misapplied) | Stylidium tenue subsp. majusculum (misapplied)],Stylidium brunonianum,Stylidiaceae,WA,Leucopogon lanceolatus s.l.,2,,9,FR22
Stylidium calcaratum,field_resistant,Stylidium calcaratum,Stylidium calcaratum,Stylidiaceae,"WA, SA",Leucopogon lasiophyllus,,,,"MS40,59, HS41"
Stylidium hispidum,field_resistant,Stylidium hispidum,Stylidium hispidum,Stylidiaceae,WA,Leucopogon lasiostachyus,15,,,"LS40,59"
Stylidium keigheryi,field_resistant,Stylidium keigheryi,Stylidium keigheryi,Stylidiaceae,WA,Leucopogon macrcraei,,3,,
Stylidium piliferum subsp. minor,field_resistant,Stylidium piliferum,Stylidium piliferum,Stylidiaceae,WA,Leucopogon marginatus E,,,,HS41
Stylidium repens,field_resistant,Stylidium repens,Stylidium repens,Stylidiaceae,WA,Leucopogon microphyllus var. pilibundus,3,,,
Stylidium scandens,field_resistant,Stylidium scandens [alternative possible names: Stylidium nymphaeum (pro parte misapplied)],Stylidium scandens,Stylidiaceae,WA,Leucopogon multiflorus,,,,HS41
Stylidium spinulosum subsp. montanum,field_resistant,Stylidium spinulosum subsp. montanum,Stylidium spinulosum subsp. montanum,Stylidiaceae,WA,Leucopogon nutans,"14,22",,,"S24,46,HS14 LS40,SP21"
Stylidium sp. Stirling Range,field_resistant,Stylidium bellum,Stylidium bellum,Stylidiaceae,WA,Leucopogon obtectus E,,,,"S52,HS41"
Symplocos ampulliformis,field_resistant,Symplocos ampulliformis,Symplocos ampulliformis,Symplocaceae,Qld,Leucopogon oliganthus,,,,HS41
Symplocos cochinchinenis var. gittonsii,field_resistant,Symplocos gittinsii,Symplocos gittinsii,Symplocaceae,Qld,Leucopogon oxycedrus,"48,28",,,"SP21,48,HS40"
Athrotaxis selaginoides,field_resistant,Athrotaxis selaginoides,Athrotaxis selaginoides,Cupressaceae,Tas,Leucopogon parviflorus ,,,,"LS59, S46"
Bubbia semecarpoides,field_resistant,Bubbia semecarpoides,Bubbia semecarpoides,Winteraceae,Qld,Leucopogon pendulus,,,,FR40
Lomandra confertifolia s.l.,field_resistant,Lomandra confertifolia,Lomandra confertifolia,Asparagaceae,"Qld, NSW, Vic",Leucopogon pleurandroides,,,,HS41
Lomandra hermaphrodita,field_resistant,Lomandra hermaphrodita,Lomandra hermaphrodita,Asparagaceae,WA,Leucopogon plumulifolius,,,,HS41
Lomandra longifolia,field_resistant,Lomandra longifolia,Lomandra longifolia,Asparagaceae,"SA, Qld, NSW, ACT, Vic, Tas",Leucopogon pogonocalyx,,,,HS41
Lomandra nigricans,field_resistant,Lomandra nigricans,Lomandra nigricans,Asparagaceae,WA,Leucopogon polymorphus,,,,"S37,53"
Lomandra obliqua,field_resistant,Lomandra obliqua,Lomandra obliqua,Asparagaceae,"Qld, NSW",Leucopogon polystachyus,,,,HS41
Lomandra preisii,field_resistant,Lomandra preissii,Lomandra preissii,Asparagaceae,WA,Leucopogon propinquus,"14,28",,,"FR59,S24,37,46,48"
Lomandra spartea,field_resistant,Lomandra spartea,Lomandra spartea,Asparagaceae,WA,Leucopogon pulchellus,15,,,S54
Platysace sp. Stirling,field_resistant,Platysace sp. Stirling (J.M.Fox 88/262),Platysace sp. Stirling (J.M.Fox 88/262),Apiaceae,WA,Leucopogon revolutus,,,,S46
Xanthosia atkinsoniana,field_resistant,Xanthosia atkinsoniana,Xanthosia atkinsoniana,Apiaceae,"WA, NSW",Leucopogon tamariscinus,,,,HS41
Xanthosia candida,field_resistant,Xanthosia candida,Xanthosia candida,Apiaceae,WA,Leucopogon unilateralis,,,,LS59
Xanthosia rotundifolia s.l.,field_resistant,Xanthosia rotundifolia,Xanthosia rotundifolia,Apiaceae,WA,Leucopogon verticillatus,"14,15,28",,,"S24,46,48,HS14,21"
Cyathochaeta avenacea,field_resistant,Cyathochaeta avenacea,Cyathochaeta avenacea,Cyperaceae,WA,Leucopogon virgatus,"3,17,18, 25,29",,,S43
Lepidosperma squamatum,field_resistant,Lepidosperma squamatum,Lepidosperma squamatum,Cyperaceae,WA,Leucopogon sp. Cascades (MA Burgman 3700),,,,HS41
Mesomelaena tetragona,field_resistant,Mesomelaena tetragona,Mesomelaena tetragona,Cyperaceae,WA,Leucopogon sp. Clyde Hill (MA Burgman 1207),,,,HS41
Schoenus efoliatus,field_resistant,Schoenus efoliatus,Schoenus efoliatus,Cyperaceae,WA,Leucopogon sp. Condingup (MA Burgman 1377),,,,HS41
Schoenus sp. Stirling,field_resistant,Schoenus sp. Stirling (G.J.Keighery 3427),Schoenus sp. Stirling (G.J.Keighery 3427),Cyperaceae,WA,Leucopogon sp. Coujinup (MA Burgman 1085),,,,HS41
